RACE,tyre compounds,traction ,asphalt grip,asphalt abrasion,track evolution,tyre stress,braking,lateral,downforce
ABU DHABI,345,4,3,3,4,3,4,3,3
QATAR,123,3,4,2,4,5,3,5,4
LAS VEGAS,345,2,1,2,5,4,3,2,1
SAO PAULO,234,3,3,2,5,3,3,3,4
MEXICO CITY,245,3,2,2,5,2,3,2,5
TEXAS,134,4,3,3,4,4,3,4,4
SINGAPORE,345,4,3,3,5,2,5,2,5
AZERBAIJAN,456,5,2,1,5,3,4,1,2
ITALIAN,345,3,3,2,4,3,4,2,1
DUTCH,234,3,3,3,4,5,3,4,4
HUNGARY,345,4,3,3,4,3,3,3,5
BELGIAN,134,4,3,3,3,5,4,5,2
BRITISH,234,3,4,2,2,5,2,5,4
AUSTRIAN,345,2,3,3,3,3,3,3,3
CANADA,456,4,2,1,5,3,5,1,1
SPANISH,123,3,3,4,3,5,3,5,4
MONACO,456,5,2,1,5,1,2,1,5
EMILIA ROMAGNA,456,2,2,2,2,3,3,3,3
MIAMI,345,3,4,2,5,3,3,3,3
SAUDI ARABIA,345,2,4,2,4,3,3,4,2
BAHRAIN,123,4,3,5,4,3,4,3,3
JAPANESE,123,3,4,4,3,5,2,5,4
CHINESE,234,3,3,3,5,4,4,4,3
AUSTRALIAN,345,2,2,2,3,3,2,3,3
