Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,TrackTemp,AirTemp,Fuel_Weight_kg,LapTime_s,Fuel_Corrected_LapTime,Compound_C_Rating,Race,Country,Circuit,Stint_ID,traction,asphalt_grip,asphalt_abrasion,track_evolution,tyre_stress,braking,lateral,downforce,Degradation_Delta,Stint_Length,Tyre_Thermal_Stress,Pressure_Deviation_Index,Slip_Energy_Index,Lateral_Load_Index,Brake_Thermal_Index,Aero_Load_Index,Latent_Degradation_Mean,Latent_Degradation_Std,Prior_Degradation_Mean,Prior_Degradation_Std,Latent_Degradation_Rate
0 days 00:57:41.632000,VER,1,0 days 00:01:34.725000,1.0,1.0,,,,0 days 00:00:41.962000,0 days 00:00:18.147000,,0 days 00:57:23.704000,0 days 00:57:41.736000,281.0,295.0,262.0,293.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:56:06.651000,,1,1.0,,,False,False,21.0,14.3,110.0,94.725,91.821,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_VER_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.9764150943396288,20,1.8099999999999998,1.4428571428571428,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.2815122730614629,0.15237425254082615,0.0,0.1825547152146416,0.0389049767784674
0 days 00:59:15.575000,VER,1,0 days 00:01:33.943000,2.0,1.0,,,0 days 00:00:33.894000,0 days 00:00:42.026000,0 days 00:00:18.023000,0 days 00:58:15.547000,0 days 00:58:57.573000,0 days 00:59:15.596000,279.0,296.0,262.0,295.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:57:41.632000,,1,1.0,,,False,True,20.8,14.2,107.9245283018868,93.943,91.09379245283019,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_VER_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.2492075471698172,20,1.8199999999999998,1.45,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.3008973326013687,0.14485541701313984,0.3204172498399303,0.1700207635533911,0.03568874290103156
0 days 01:00:49.214000,VER,1,0 days 00:01:33.639000,3.0,1.0,,,0 days 00:00:33.567000,0 days 00:00:42.027000,0 days 00:00:18.045000,0 days 00:59:49.163000,0 days 01:00:31.190000,0 days 01:00:49.235000,282.0,296.0,262.0,296.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:59:15.575000,,1,1.0,,,False,True,20.9,14.2,105.84905660377359,93.639,90.84458490566037,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_VER_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.0,20,1.815,1.4464285714285714,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.23400767957568328,0.15273733899323455,0.3365860755024003,0.18318007715090032,0.01065685436345535
0 days 01:02:22.958000,VER,1,0 days 00:01:33.744000,4.0,1.0,,,0 days 00:00:33.570000,0 days 00:00:42.140000,0 days 00:00:18.034000,0 days 01:01:22.805000,0 days 01:02:04.945000,0 days 01:02:22.979000,283.0,296.0,263.0,296.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:00:49.214000,,1,1.0,,,False,True,20.9,14.3,103.77358490566037,93.744,91.00437735849057,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_VER_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.15979245283020305,20,1.815,1.4464285714285714,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.21556170526162274,0.16201324346245408,0.24466453393913862,0.19986443988437078,0.003372697528703104
0 days 01:03:56.734000,VER,1,0 days 00:01:33.776000,5.0,1.0,,,0 days 00:00:33.486000,0 days 00:00:42.157000,0 days 00:00:18.133000,0 days 01:02:56.465000,0 days 01:03:38.622000,0 days 01:03:56.755000,283.0,297.0,263.0,298.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:02:22.958000,,1,1.0,,,False,True,20.6,14.2,101.69811320754717,93.776,91.09116981132075,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_VER_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.24658490566038438,20,1.8299999999999998,1.457142857142857,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.2290187510057193,0.16708510683079725,0.21893440279032586,0.20962877994253104,0.005713403698560538
0 days 01:05:30.380000,VER,1,0 days 00:01:33.646000,6.0,1.0,,,0 days 00:00:33.319000,0 days 00:00:42.252000,0 days 00:00:18.075000,0 days 01:04:30.074000,0 days 01:05:12.326000,0 days 01:05:30.401000,283.0,297.0,263.0,297.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:03:56.734000,,1,1.0,,,False,True,20.6,14.3,99.62264150943396,93.646,91.01596226415094,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_VER_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.17137735849057378,20,1.8299999999999998,1.457142857142857,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.21135759183109856,0.168053414445016,0.23473215470427986,0.21155068096355542,0.0007881546054858118
0 days 01:07:03.906000,VER,1,0 days 00:01:33.526000,7.0,1.0,,,0 days 00:00:33.193000,0 days 00:00:42.278000,0 days 00:00:18.055000,0 days 01:06:03.594000,0 days 01:06:45.872000,0 days 01:07:03.927000,281.0,296.0,263.0,297.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 01:05:30.380000,,1,1.0,,,False,True,20.6,14.3,97.54716981132076,93.526,90.95075471698112,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_VER_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.10616981132075409,20,1.8299999999999998,1.457142857142857,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.17376153018331375,0.16650912972218193,0.21214574643658438,0.20849465906003606,0.0
0 days 01:08:37.442000,VER,1,0 days 00:01:33.536000,8.0,1.0,,,0 days 00:00:33.130000,0 days 00:00:42.336000,0 days 00:00:18.070000,0 days 01:07:37.057000,0 days 01:08:19.393000,0 days 01:08:37.463000,284.0,296.0,263.0,297.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:07:03.906000,,1,1.0,,,False,True,20.6,14.3,95.47169811320755,93.536,91.01554716981133,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_VER_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.17096226415095828,20,1.8299999999999998,1.457142857142857,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.17278042099053778,0.16379548499102084,0.17376153018331375,0.20323960463755789,0.0
0 days 01:10:10.971000,VER,1,0 days 00:01:33.529000,9.0,1.0,,,0 days 00:00:33.067000,0 days 00:00:42.336000,0 days 00:00:18.126000,0 days 01:09:10.530000,0 days 01:09:52.866000,0 days 01:10:10.992000,282.0,297.0,262.0,297.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:08:37.442000,,1,1.0,,,False,True,20.7,14.3,93.39622641509433,93.529,91.06333962264151,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_VER_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.21875471698113813,20,1.825,1.4535714285714285,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.18829911668074953,0.1607442348191712,0.17278042099053778,0.19749648355137842,0.0025820300805739307
0 days 01:11:44.526000,VER,1,0 days 00:01:33.555000,10.0,1.0,,,0 days 00:00:33.118000,0 days 00:00:42.367000,0 days 00:00:18.070000,0 days 01:10:44.110000,0 days 01:11:26.477000,0 days 01:11:44.547000,282.0,297.0,262.0,298.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:10:10.971000,,1,1.0,,,False,True,20.6,14.3,91.32075471698113,93.555,91.1441320754717,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_VER_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.29954716981133345,20,1.8299999999999998,1.457142857142857,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.22623341028697808,0.15780729200821444,0.19088114676132345,0.19212381797474845,0.008182540729576086
