Race,avg_cliff_lap,avg_loss_per_lap,peak_loss_per_lap,stints
Bahrain Grand Prix,11.098039215686274,0.13581175725120986,0.5026666947957938,58
Spanish Grand Prix,10.714285714285714,0.12016987163778912,0.6073586953724747,67
Monaco Grand Prix,11.0,0.10794817767085352,0.763726037141045,41
Singapore Grand Prix,13.666666666666666,0.08212568648083453,0.603032911452821,43
Abu Dhabi Grand Prix,10.487804878048781,0.07840541003739258,0.47922617556046604,46
Mexico City Grand Prix,11.58974358974359,0.07830781312502078,0.4849027191776334,45
Emilia Romagna Grand Prix,11.27659574468085,0.07469641158489264,0.46945533753767443,55
Hungarian Grand Prix,13.295454545454545,0.07117878681428312,0.5695070999591585,48
Austrian Grand Prix,11.2,0.06939677090189221,0.3537906618766096,47
Canadian Grand Prix,12.046511627906977,0.06596910461699401,0.38606133833928025,49
Dutch Grand Prix,14.304347826086957,0.06012588570251762,0.6796239598128835,54
Saudi Arabian Grand Prix,12.363636363636363,0.05633328495001072,0.5383680599378516,34
Azerbaijan Grand Prix,13.363636363636363,0.04491479251469781,0.4010927304956302,37
Japanese Grand Prix,12.564102564102564,0.03960634660148461,0.3366732991987985,41
British Grand Prix,10.181818181818182,0.036810108089774925,0.3513384456527104,15
Italian Grand Prix,12.133333333333333,0.035234129317736895,0.356215963051084,34
Las Vegas Grand Prix,13.464285714285714,0.033099737264224986,0.39310908873208605,34
