Race,MAE,Laps
Italian Grand Prix,0.21661831889081842,890
Las Vegas Grand Prix,0.23017949176889163,756
Japanese Grand Prix,0.23431297133608195,998
Azerbaijan Grand Prix,0.28520592786077803,781
Canadian Grand Prix,0.2981924570564284,1151
Saudi Arabian Grand Prix,0.3049142737961975,806
Austrian Grand Prix,0.309793176014836,982
Abu Dhabi Grand Prix,0.33455178826635096,1075
Dutch Grand Prix,0.3605791415075462,990
Emilia Romagna Grand Prix,0.3728864784565392,939
Mexico City Grand Prix,0.38245286161890485,1098
Hungarian Grand Prix,0.38972418959574234,1274
British Grand Prix,0.41595364822295894,117
Bahrain Grand Prix,0.4397338962703303,966
Spanish Grand Prix,0.4570320902680945,962
Singapore Grand Prix,0.4841833438482878,1088
Monaco Grand Prix,0.6657633634339893,1076
