Race,Driver,Compound,Stint_ID,Laps,cliff_lap,avg_loss_per_lap,peak_loss_per_lap
Abu Dhabi Grand Prix,ALB,SOFT,2025_Abu Dhabi Grand Prix_ALB_1.0,6,,0.02678077031206227,0.06369921685217445
Abu Dhabi Grand Prix,ALB,HARD,2025_Abu Dhabi Grand Prix_ALB_2.0,23,,0.10536418913432793,0.1660913454440303
Abu Dhabi Grand Prix,ALB,MEDIUM,2025_Abu Dhabi Grand Prix_ALB_3.0,24,6.0,0.08802992604148024,0.31088694519595866
Abu Dhabi Grand Prix,ALO,MEDIUM,2025_Abu Dhabi Grand Prix_ALO_1.0,14,,0.03930760066044255,0.1414758232288452
Abu Dhabi Grand Prix,ALO,HARD,2025_Abu Dhabi Grand Prix_ALO_2.0,41,8.0,0.0499110673616803,0.19982448398353816
Abu Dhabi Grand Prix,ANT,HARD,2025_Abu Dhabi Grand Prix_ANT_1.0,30,11.0,0.07477204066966682,0.2298259522808848
Abu Dhabi Grand Prix,ANT,MEDIUM,2025_Abu Dhabi Grand Prix_ANT_2.0,25,5.0,0.132133064751629,0.3557942901406183
Abu Dhabi Grand Prix,BEA,MEDIUM,2025_Abu Dhabi Grand Prix_BEA_1.0,12,10.0,0.08455674933101909,0.1952392373892431
Abu Dhabi Grand Prix,BEA,HARD,2025_Abu Dhabi Grand Prix_BEA_2.0,42,8.0,0.06389720991016529,0.27568659107100035
Abu Dhabi Grand Prix,BOR,MEDIUM,2025_Abu Dhabi Grand Prix_BOR_1.0,13,6.0,0.04112912618014754,0.10447788316170936
Abu Dhabi Grand Prix,BOR,HARD,2025_Abu Dhabi Grand Prix_BOR_2.0,42,12.0,0.06508588398271573,0.33500596856756526
Abu Dhabi Grand Prix,COL,MEDIUM,2025_Abu Dhabi Grand Prix_COL_1.0,13,11.0,0.06466683659327614,0.24877332919990586
Abu Dhabi Grand Prix,COL,HARD,2025_Abu Dhabi Grand Prix_COL_2.0,22,19.0,0.08740139275246957,0.23011143926667232
Abu Dhabi Grand Prix,COL,MEDIUM,2025_Abu Dhabi Grand Prix_COL_3.0,15,,0.13026552682787426,0.24687735083670062
Abu Dhabi Grand Prix,GAS,MEDIUM,2025_Abu Dhabi Grand Prix_GAS_1.0,11,10.0,0.07024910048100427,0.3340513985282628
Abu Dhabi Grand Prix,GAS,HARD,2025_Abu Dhabi Grand Prix_GAS_2.0,25,5.0,0.08667667146293176,0.26844440511954226
Abu Dhabi Grand Prix,GAS,MEDIUM,2025_Abu Dhabi Grand Prix_GAS_3.0,16,16.0,0.06970339147091897,0.2651371434742673
Abu Dhabi Grand Prix,HAD,MEDIUM,2025_Abu Dhabi Grand Prix_HAD_1.0,12,11.0,0.09100301907842567,0.22700028144402673
Abu Dhabi Grand Prix,HAD,HARD,2025_Abu Dhabi Grand Prix_HAD_2.0,42,10.0,0.07620886632352462,0.32030402130785063
Abu Dhabi Grand Prix,HAM,SOFT,2025_Abu Dhabi Grand Prix_HAM_1.0,6,7.0,0.06077107771653051,0.1147783674396381
Abu Dhabi Grand Prix,HAM,HARD,2025_Abu Dhabi Grand Prix_HAM_2.0,21,12.0,0.13736891839384033,0.4503695982115885
Abu Dhabi Grand Prix,HAM,MEDIUM,2025_Abu Dhabi Grand Prix_HAM_3.0,26,8.0,0.08829127729333018,0.18853390052890856
Abu Dhabi Grand Prix,HUL,HARD,2025_Abu Dhabi Grand Prix_HUL_2.0,33,13.0,0.12449448382032942,0.4044822701584514
Abu Dhabi Grand Prix,HUL,MEDIUM,2025_Abu Dhabi Grand Prix_HUL_3.0,15,6.0,0.16017473341085128,0.3623817254914844
Abu Dhabi Grand Prix,LAW,MEDIUM,2025_Abu Dhabi Grand Prix_LAW_1.0,19,12.0,0.11941823233932443,0.22154950882103297
Abu Dhabi Grand Prix,LAW,HARD,2025_Abu Dhabi Grand Prix_LAW_2.0,34,7.0,0.053255010801189606,0.2235237669674961
Abu Dhabi Grand Prix,LEC,MEDIUM,2025_Abu Dhabi Grand Prix_LEC_1.0,14,11.0,0.05992035904473457,0.13350539463573802
Abu Dhabi Grand Prix,LEC,HARD,2025_Abu Dhabi Grand Prix_LEC_2.0,21,6.0,0.017885403586621766,0.07545312386142272
Abu Dhabi Grand Prix,LEC,MEDIUM,2025_Abu Dhabi Grand Prix_LEC_3.0,18,16.0,0.049840700563350444,0.23012378060324956
Abu Dhabi Grand Prix,NOR,MEDIUM,2025_Abu Dhabi Grand Prix_NOR_1.0,14,11.0,0.03756677044555579,0.11061377521534924
